source,term_id,driver_term,term_name,term_size,effective_domain_size,p_value,intersection_size,intersection
GO:BP,GO:0006412,TRUE,translation,223,11091,1.3567537826802969e-50,98,"PgB01_g068,PgB01_g225,PgB02X_g093,PgB02X_g136,PgB03_g100,PgB04_g093,PgB05_g027,PgB05_g084,PgB05_g149,PgB08_g065,PgB09_g006,PgB11_g065,PgB13_g043,PgB18_g007,PgB20_g001,PgB24X_g009,PgR003_g263,PgR004_g050,PgR004_g053,PgR004_g183,PgR004_g238,PgR005X_g027,PgR005X_g078,PgR005X_g079,PgB01_g055,PgR005X_g147,PgR005X_g182,PgR009X_g003,PgR009X_g102,PgR009X_g243,PgR010_g013,PgR010_g038,PgR010_g045,PgR010_g121,PgR010_g123,PgR011_g073,PgB03_g078,PgR015_g083,PgR016_g088,PgR017X_g064,PgR018_g076,PgR018_g118,PgR019_g005,PgR021_g072,PgR025_g030,PgR028_g005,PgR029_g047,PgR032X_g120,PgR035X_g047,PgR036_g069,PgR038X_g041,PgR038X_g088,PgR038X_g104,PgR039_g077,PgR040_g005,PgR042_g045,PgR043_g055,PgR044_g043,PgR045_g080,PgR046_g037,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR049_g017,PgR052_g060,PgR053_g032,PgR054_g033,PgR056X_g045,PgR058_g003,PgR062_g016,PgR062_g049,PgR062_g057,PgR065_g056,PgR068_g023,PgR070_g042,PgR073_g044,PgR075_g033,PgR076_g018,PgR080_g050,PgR084X_g036,PgR084X_g042,PgR089_g021,PgR092_g008,PgR092_g021,PgR102_g036,PgR113_g002,PgR123_g014,PgR125_g022,PgR137_g007,PgR137_g015,PgR138_g006,PgR139_g014,PgR159_g001,PgR169_g006,PgR187_g007,PgR229_g002,PgR306_g002"
GO:BP,GO:0006518,FALSE,peptide metabolic process,233,11091,1.6889152169825158e-50,100,"PgB01_g068,PgB01_g225,PgB02X_g093,PgB02X_g136,PgB03_g100,PgB04_g093,PgB05_g027,PgB05_g084,PgB05_g149,PgB08_g065,PgB09_g006,PgB11_g065,PgB13_g043,PgB18_g007,PgB20_g001,PgB24X_g009,PgR003_g263,PgR004_g050,PgR004_g053,PgR004_g183,PgR004_g238,PgR005X_g027,PgR005X_g078,PgR005X_g079,PgB01_g055,PgR005X_g147,PgR005X_g182,PgR009X_g003,PgR009X_g102,PgR009X_g243,PgR010_g013,PgR010_g038,PgR010_g045,PgR010_g121,PgR010_g123,PgR011_g073,PgB03_g078,PgR015_g083,PgR016_g088,PgR017X_g064,PgR018_g076,PgR018_g118,PgR019_g005,PgR019_g079,PgR021_g072,PgR025_g030,PgR028_g005,PgR029_g047,PgR032X_g120,PgR035X_g047,PgR036_g069,PgR038X_g041,PgR038X_g088,PgR038X_g093,PgR038X_g104,PgR039_g077,PgR040_g005,PgR042_g045,PgR043_g055,PgR044_g043,PgR045_g080,PgR046_g037,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR049_g017,PgR052_g060,PgR053_g032,PgR054_g033,PgR056X_g045,PgR058_g003,PgR062_g016,PgR062_g049,PgR062_g057,PgR065_g056,PgR068_g023,PgR070_g042,PgR073_g044,PgR075_g033,PgR076_g018,PgR080_g050,PgR084X_g036,PgR084X_g042,PgR089_g021,PgR092_g008,PgR092_g021,PgR102_g036,PgR113_g002,PgR123_g014,PgR125_g022,PgR137_g007,PgR137_g015,PgR138_g006,PgR139_g014,PgR159_g001,PgR169_g006,PgR187_g007,PgR229_g002,PgR306_g002"
GO:BP,GO:0043043,FALSE,peptide biosynthetic process,227,11091,1.0152258784922106e-49,98,"PgB01_g068,PgB01_g225,PgB02X_g093,PgB02X_g136,PgB03_g100,PgB04_g093,PgB05_g027,PgB05_g084,PgB05_g149,PgB08_g065,PgB09_g006,PgB11_g065,PgB13_g043,PgB18_g007,PgB20_g001,PgB24X_g009,PgR003_g263,PgR004_g050,PgR004_g053,PgR004_g183,PgR004_g238,PgR005X_g027,PgR005X_g078,PgR005X_g079,PgB01_g055,PgR005X_g147,PgR005X_g182,PgR009X_g003,PgR009X_g102,PgR009X_g243,PgR010_g013,PgR010_g038,PgR010_g045,PgR010_g121,PgR010_g123,PgR011_g073,PgB03_g078,PgR015_g083,PgR016_g088,PgR017X_g064,PgR018_g076,PgR018_g118,PgR019_g005,PgR021_g072,PgR025_g030,PgR028_g005,PgR029_g047,PgR032X_g120,PgR035X_g047,PgR036_g069,PgR038X_g041,PgR038X_g088,PgR038X_g104,PgR039_g077,PgR040_g005,PgR042_g045,PgR043_g055,PgR044_g043,PgR045_g080,PgR046_g037,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR049_g017,PgR052_g060,PgR053_g032,PgR054_g033,PgR056X_g045,PgR058_g003,PgR062_g016,PgR062_g049,PgR062_g057,PgR065_g056,PgR068_g023,PgR070_g042,PgR073_g044,PgR075_g033,PgR076_g018,PgR080_g050,PgR084X_g036,PgR084X_g042,PgR089_g021,PgR092_g008,PgR092_g021,PgR102_g036,PgR113_g002,PgR123_g014,PgR125_g022,PgR137_g007,PgR137_g015,PgR138_g006,PgR139_g014,PgR159_g001,PgR169_g006,PgR187_g007,PgR229_g002,PgR306_g002"
GO:BP,GO:0043604,FALSE,amide biosynthetic process,244,11091,2.988799015678192e-46,98,"PgB01_g068,PgB01_g225,PgB02X_g093,PgB02X_g136,PgB03_g100,PgB04_g093,PgB05_g027,PgB05_g084,PgB05_g149,PgB08_g065,PgB09_g006,PgB11_g065,PgB13_g043,PgB18_g007,PgB20_g001,PgB24X_g009,PgR003_g263,PgR004_g050,PgR004_g053,PgR004_g183,PgR004_g238,PgR005X_g027,PgR005X_g078,PgR005X_g079,PgB01_g055,PgR005X_g147,PgR005X_g182,PgR009X_g003,PgR009X_g102,PgR009X_g243,PgR010_g013,PgR010_g038,PgR010_g045,PgR010_g121,PgR010_g123,PgR011_g073,PgB03_g078,PgR015_g083,PgR016_g088,PgR017X_g064,PgR018_g076,PgR018_g118,PgR019_g005,PgR021_g072,PgR025_g030,PgR028_g005,PgR029_g047,PgR032X_g120,PgR035X_g047,PgR036_g069,PgR038X_g041,PgR038X_g088,PgR038X_g104,PgR039_g077,PgR040_g005,PgR042_g045,PgR043_g055,PgR044_g043,PgR045_g080,PgR046_g037,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR049_g017,PgR052_g060,PgR053_g032,PgR054_g033,PgR056X_g045,PgR058_g003,PgR062_g016,PgR062_g049,PgR062_g057,PgR065_g056,PgR068_g023,PgR070_g042,PgR073_g044,PgR075_g033,PgR076_g018,PgR080_g050,PgR084X_g036,PgR084X_g042,PgR089_g021,PgR092_g008,PgR092_g021,PgR102_g036,PgR113_g002,PgR123_g014,PgR125_g022,PgR137_g007,PgR137_g015,PgR138_g006,PgR139_g014,PgR159_g001,PgR169_g006,PgR187_g007,PgR229_g002,PgR306_g002"
GO:BP,GO:0043603,FALSE,amide metabolic process,261,11091,5.226913160012079e-45,100,"PgB01_g068,PgB01_g225,PgB02X_g093,PgB02X_g136,PgB03_g100,PgB04_g093,PgB05_g027,PgB05_g084,PgB05_g149,PgB08_g065,PgB09_g006,PgB11_g065,PgB13_g043,PgB18_g007,PgB20_g001,PgB24X_g009,PgR003_g263,PgR004_g050,PgR004_g053,PgR004_g183,PgR004_g238,PgR005X_g027,PgR005X_g078,PgR005X_g079,PgB01_g055,PgR005X_g147,PgR005X_g182,PgR009X_g003,PgR009X_g102,PgR009X_g243,PgR010_g013,PgR010_g038,PgR010_g045,PgR010_g121,PgR010_g123,PgR011_g073,PgB03_g078,PgR015_g083,PgR016_g088,PgR017X_g064,PgR018_g076,PgR018_g118,PgR019_g005,PgR019_g079,PgR021_g072,PgR025_g030,PgR028_g005,PgR029_g047,PgR032X_g120,PgR035X_g047,PgR036_g069,PgR038X_g041,PgR038X_g088,PgR038X_g093,PgR038X_g104,PgR039_g077,PgR040_g005,PgR042_g045,PgR043_g055,PgR044_g043,PgR045_g080,PgR046_g037,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR049_g017,PgR052_g060,PgR053_g032,PgR054_g033,PgR056X_g045,PgR058_g003,PgR062_g016,PgR062_g049,PgR062_g057,PgR065_g056,PgR068_g023,PgR070_g042,PgR073_g044,PgR075_g033,PgR076_g018,PgR080_g050,PgR084X_g036,PgR084X_g042,PgR089_g021,PgR092_g008,PgR092_g021,PgR102_g036,PgR113_g002,PgR123_g014,PgR125_g022,PgR137_g007,PgR137_g015,PgR138_g006,PgR139_g014,PgR159_g001,PgR169_g006,PgR187_g007,PgR229_g002,PgR306_g002"
GO:BP,GO:1901566,FALSE,organonitrogen compound biosynthetic process,393,11091,7.201061489931012e-41,118,"PgB01_g068,PgB01_g225,PgB02X_g093,PgB02X_g136,PgB03_g100,PgB04_g093,PgB05_g027,PgB05_g084,PgB05_g149,PgB06_g076,PgB08_g065,PgB09_g006,PgB11_g065,PgB13_g043,PgB17_g036,PgB18_g007,PgB20_g001,PgB24X_g009,PgR003_g263,PgR004_g050,PgR004_g053,PgB02X_g159,PgR004_g183,PgR004_g238,PgR005X_g017,PgR005X_g027,PgR005X_g078,PgR005X_g079,PgB01_g055,PgR005X_g147,PgR005X_g182,PgR009X_g003,PgR009X_g102,PgR009X_g220,PgR009X_g243,PgR010_g013,PgR010_g038,PgR010_g045,PgR010_g121,PgR010_g123,PgR011_g073,PgB03_g078,PgR014X_g038,PgR014X_g071,PgR015_g029,PgR015_g083,PgR016_g088,PgR016_g135,PgR017X_g064,PgR018_g076,PgR018_g118,PgR019_g005,PgR021_g072,PgR025_g030,PgR028_g005,PgR029_g047,PgR032X_g021,PgR032X_g120,PgR035X_g047,PgR035X_g052,PgR036_g069,PgR038X_g038,PgR038X_g041,PgR038X_g088,PgR038X_g104,PgR039_g077,PgR040_g005,PgR042_g045,PgR042_g077,PgR043_g055,PgR044_g012,PgR044_g043,PgR045_g080,PgR046_g037,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR049_g017,PgR052_g037,PgR052_g060,PgR053_g032,PgR054_g033,PgR056X_g045,PgR057_g039,PgR058_g003,PgR062_g016,PgR062_g049,PgR062_g057,PgR065_g056,PgR068_g023,PgR070_g042,PgR073_g044,PgR075_g033,PgR076_g018,PgR080_g050,PgR084X_g036,PgR084X_g042,PgR089_g021,PgR092_g008,PgR092_g021,PgR102_g036,PgR113_g002,PgR123_g014,PgR125_g022,PgR128_g017,PgR137_g007,PgR137_g015,PgR138_g006,PgR139_g014,PgR144_g010,PgR151_g004,PgR159_g001,PgR169_g006,PgR187_g007,PgR229_g002,PgR306_g002,PgR001X_g198"
GO:BP,GO:0044249,FALSE,cellular biosynthetic process,1133,11091,6.7171690568197e-22,177,"PgB01_g068,PgB01_g225,PgB02X_g093,PgB02X_g136,PgB03_g100,PgB04_g093,PgB05_g027,PgB05_g084,PgB05_g149,PgB06_g076,PgB08_g065,PgB09_g006,PgB11_g013,PgB11_g065,PgB12X_g024,PgB13_g030,PgB13_g043,PgB17_g036,PgB18_g007,PgB20_g001,PgB23_g030,PgB24X_g006,PgB24X_g009,PgB37_g003,PgE095_g002,PgR001X_g204,PgR002_g075,PgR002_g094,PgR002_g120,PgR002_g178,PgR002_g189,PgR002_g221,PgR002_g254,PgR003_g171,PgR003_g263,PgR004_g050,PgR004_g053,PgB02X_g159,PgR004_g181,PgR004_g183,PgR004_g238,PgR005X_g017,PgR005X_g027,PgR005X_g078,PgR005X_g079,PgB01_g055,PgR005X_g147,PgR005X_g171,PgR005X_g182,PgR007_g036,PgR009X_g003,PgR009X_g102,PgR001X_g060,PgR009X_g220,PgR009X_g243,PgR010_g013,PgR010_g038,PgR010_g045,PgR010_g074,PgR010_g121,PgR010_g123,PgR010_g124,PgR010_g152,PgR010_g209,PgR011_g073,PgR011_g189,PgB03_g078,PgR012_g035,PgR012_g136,PgR003_g049,PgR014X_g038,PgR014X_g071,PgR015_g005,PgR015_g029,PgR015_g083,PgR016_g088,PgR016_g135,PgR017X_g064,PgR017X_g081,PgR018_g076,PgR018_g113,PgR018_g118,PgR018_g138,PgR018_g143,PgR019_g005,PgR019_g079,PgR021_g041,PgR021_g072,PgR023_g030,PgR023_g096,PgR023_g101,PgR025_g030,PgR026_g090,PgR027_g088,PgR027_g135,PgR028_g005,PgR029_g047,PgR032X_g120,PgB01_g052,PgR034_g030,PgR034_g048,PgR035X_g047,PgR035X_g052,PgR035X_g098,PgR035X_g113,PgR036_g069,PgR037_g085,PgR038X_g038,PgR038X_g041,PgR038X_g088,PgR038X_g093,PgR038X_g104,PgR039_g077,PgR040_g005,PgR041_g064,PgR042_g045,PgR042_g077,PgR043_g055,PgR044_g002,PgR044_g012,PgR044_g043,PgR045_g080,PgR046_g037,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR049_g005,PgR049_g017,PgR052_g037,PgR052_g060,PgR053_g032,PgR054_g033,PgR056X_g020,PgR056X_g045,PgR057_g039,PgR058_g003,PgR062_g016,PgR062_g049,PgR062_g057,PgR063X_g005,PgR065_g056,PgR068_g023,PgR069_g046,PgR070_g042,PgR073_g044,PgR075_g033,PgR076_g018,PgR080_g050,PgR084X_g036,PgR084X_g042,PgR085_g011,PgR088_g012,PgR089_g021,PgR092_g008,PgR092_g021,PgR101_g012,PgR102_g036,PgR106_g023,PgR113_g002,PgR123_g014,PgR125_g022,PgR128_g017,PgR137_g007,PgR137_g015,PgR138_g006,PgR139_g014,PgR144_g010,PgR151_g004,PgR159_g001,PgR169_g006,PgR183X_g003,PgR187_g007,PgR229_g002,PgR239_g002,PgR306_g002,PgR001X_g198"
GO:BP,GO:1901576,FALSE,organic substance biosynthetic process,1164,11091,2.2346237092158948e-21,179,"PgB01_g068,PgB01_g225,PgB02X_g093,PgB02X_g136,PgB03_g100,PgB04_g093,PgB05_g027,PgB05_g084,PgB05_g149,PgB06_g076,PgB08_g065,PgB09_g006,PgB11_g013,PgB11_g065,PgB12X_g024,PgB13_g030,PgB13_g043,PgB14X_g033,PgB17_g036,PgB18_g007,PgB20_g001,PgB23_g030,PgB24X_g006,PgB24X_g009,PgB37_g003,PgE095_g002,PgR001X_g204,PgR002_g075,PgR002_g094,PgR002_g120,PgR002_g178,PgR002_g189,PgR002_g221,PgR002_g254,PgR003_g171,PgR003_g263,PgR004_g050,PgR004_g053,PgB02X_g159,PgR004_g181,PgR004_g183,PgR004_g238,PgR005X_g017,PgR005X_g027,PgR005X_g078,PgR005X_g079,PgB01_g055,PgR005X_g147,PgR005X_g171,PgR005X_g182,PgR007_g036,PgR009X_g003,PgR009X_g102,PgR001X_g060,PgR009X_g220,PgR009X_g243,PgR010_g013,PgR010_g038,PgR010_g045,PgR010_g074,PgR010_g121,PgR010_g123,PgR010_g124,PgR010_g152,PgR010_g209,PgR011_g073,PgR011_g189,PgB03_g078,PgR012_g035,PgR012_g136,PgR003_g049,PgR014X_g038,PgR014X_g071,PgR015_g005,PgR015_g029,PgR015_g083,PgR016_g088,PgR016_g135,PgR017X_g064,PgR017X_g081,PgR018_g076,PgR018_g113,PgR018_g118,PgR018_g138,PgR018_g143,PgR019_g005,PgR019_g079,PgR021_g041,PgR021_g072,PgR023_g030,PgR023_g096,PgR023_g101,PgR025_g030,PgR026_g090,PgR027_g088,PgR027_g135,PgR028_g005,PgR029_g047,PgR032X_g021,PgR032X_g120,PgB01_g052,PgR034_g030,PgR034_g048,PgR035X_g047,PgR035X_g052,PgR035X_g098,PgR035X_g113,PgR036_g069,PgR037_g085,PgR038X_g038,PgR038X_g041,PgR038X_g088,PgR038X_g093,PgR038X_g104,PgR039_g077,PgR040_g005,PgR041_g064,PgR042_g045,PgR042_g077,PgR043_g055,PgR044_g002,PgR044_g012,PgR044_g043,PgR045_g080,PgR046_g037,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR049_g005,PgR049_g017,PgR052_g037,PgR052_g060,PgR053_g032,PgR054_g033,PgR056X_g020,PgR056X_g045,PgR057_g039,PgR058_g003,PgR062_g016,PgR062_g049,PgR062_g057,PgR063X_g005,PgR065_g056,PgR068_g023,PgR069_g046,PgR070_g042,PgR073_g044,PgR075_g033,PgR076_g018,PgR080_g050,PgR084X_g036,PgR084X_g042,PgR085_g011,PgR088_g012,PgR089_g021,PgR092_g008,PgR092_g021,PgR101_g012,PgR102_g036,PgR106_g023,PgR113_g002,PgR123_g014,PgR125_g022,PgR128_g017,PgR137_g007,PgR137_g015,PgR138_g006,PgR139_g014,PgR144_g010,PgR151_g004,PgR159_g001,PgR169_g006,PgR183X_g003,PgR187_g007,PgR229_g002,PgR239_g002,PgR306_g002,PgR001X_g198"
GO:BP,GO:0010467,FALSE,gene expression,896,11091,4.397339124969672e-21,150,"PgB01_g068,PgB01_g225,PgB02X_g093,PgB02X_g136,PgB03_g100,PgB04_g093,PgB05_g027,PgB05_g084,PgB05_g149,PgB08_g065,PgB09_g006,PgB11_g013,PgB11_g065,PgB12X_g024,PgB13_g030,PgB13_g043,PgB18_g007,PgB20_g001,PgB23_g030,PgB24X_g006,PgB24X_g009,PgB37_g003,PgE095_g002,PgR001X_g204,PgR002_g075,PgR002_g094,PgR002_g120,PgR002_g178,PgR002_g189,PgR002_g254,PgR003_g171,PgR003_g263,PgR004_g050,PgR004_g053,PgR004_g181,PgR004_g183,PgR004_g238,PgR005X_g027,PgR005X_g078,PgR005X_g079,PgB01_g055,PgR005X_g147,PgR005X_g182,PgR007_g036,PgR009X_g003,PgR009X_g102,PgR001X_g060,PgR009X_g243,PgR010_g013,PgR010_g038,PgR010_g045,PgR010_g074,PgR010_g121,PgR010_g123,PgR010_g152,PgR010_g209,PgR011_g073,PgR011_g189,PgB03_g078,PgR012_g035,PgR012_g136,PgR015_g005,PgR015_g083,PgR016_g088,PgR017X_g064,PgR017X_g081,PgR018_g076,PgR018_g113,PgR018_g118,PgR018_g138,PgR018_g143,PgR019_g005,PgR019_g079,PgR021_g041,PgR021_g072,PgR023_g030,PgR023_g096,PgR025_g030,PgR027_g135,PgR028_g005,PgR029_g047,PgR032X_g120,PgB01_g052,PgR034_g030,PgR034_g048,PgR035X_g047,PgR035X_g098,PgR035X_g113,PgR036_g069,PgR037_g085,PgR038X_g041,PgR038X_g088,PgR038X_g093,PgR038X_g104,PgR039_g077,PgR040_g005,PgR041_g064,PgR042_g045,PgR043_g055,PgR044_g002,PgR044_g043,PgR045_g080,PgR046_g037,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR049_g005,PgR049_g017,PgR052_g060,PgR053_g032,PgR054_g033,PgR056X_g020,PgR056X_g045,PgR058_g003,PgR062_g016,PgR062_g049,PgR062_g057,PgR063X_g005,PgR065_g056,PgR068_g023,PgR069_g046,PgR070_g042,PgR073_g044,PgR075_g033,PgR076_g018,PgR080_g050,PgR084X_g036,PgR084X_g042,PgR085_g011,PgR088_g012,PgR089_g021,PgR092_g008,PgR092_g021,PgR101_g012,PgR102_g036,PgR106_g023,PgR113_g002,PgR123_g014,PgR125_g022,PgR137_g007,PgR137_g015,PgR138_g006,PgR139_g014,PgR159_g001,PgR169_g006,PgR187_g007,PgR229_g002,PgR239_g002,PgR306_g002"
GO:BP,GO:0044271,FALSE,cellular nitrogen compound biosynthetic process,689,11091,1.0542248589201665e-20,126,"PgB01_g068,PgB01_g225,PgB02X_g093,PgB02X_g136,PgB03_g100,PgB04_g093,PgB05_g027,PgB05_g084,PgB05_g149,PgB08_g065,PgB09_g006,PgB11_g013,PgB11_g065,PgB12X_g024,PgB13_g043,PgB17_g036,PgB18_g007,PgB20_g001,PgB24X_g009,PgR001X_g204,PgR002_g075,PgR002_g094,PgR002_g189,PgR003_g171,PgR003_g263,PgR004_g050,PgR004_g053,PgB02X_g159,PgR004_g183,PgR004_g238,PgR005X_g027,PgR005X_g078,PgR005X_g079,PgB01_g055,PgR005X_g147,PgR005X_g182,PgR009X_g003,PgR009X_g102,PgR009X_g220,PgR009X_g243,PgR010_g013,PgR010_g038,PgR010_g045,PgR010_g121,PgR010_g123,PgR011_g073,PgB03_g078,PgR014X_g038,PgR015_g083,PgR016_g088,PgR016_g135,PgR017X_g064,PgR018_g076,PgR018_g113,PgR018_g118,PgR019_g005,PgR021_g041,PgR021_g072,PgR023_g030,PgR025_g030,PgR028_g005,PgR029_g047,PgR032X_g120,PgB01_g052,PgR034_g030,PgR035X_g047,PgR035X_g052,PgR035X_g113,PgR036_g069,PgR038X_g038,PgR038X_g041,PgR038X_g088,PgR038X_g104,PgR039_g077,PgR040_g005,PgR041_g064,PgR042_g045,PgR042_g077,PgR043_g055,PgR044_g012,PgR044_g043,PgR045_g080,PgR046_g037,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR049_g005,PgR049_g017,PgR052_g037,PgR052_g060,PgR053_g032,PgR054_g033,PgR056X_g045,PgR058_g003,PgR062_g016,PgR062_g049,PgR062_g057,PgR063X_g005,PgR065_g056,PgR068_g023,PgR070_g042,PgR073_g044,PgR075_g033,PgR076_g018,PgR080_g050,PgR084X_g036,PgR084X_g042,PgR088_g012,PgR089_g021,PgR092_g008,PgR092_g021,PgR102_g036,PgR113_g002,PgR123_g014,PgR125_g022,PgR128_g017,PgR137_g007,PgR137_g015,PgR138_g006,PgR139_g014,PgR159_g001,PgR169_g006,PgR187_g007,PgR229_g002,PgR306_g002"
